CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46167;Millares; 3; 869,57; 1; 289,86; 0; 0,0
3086;Millena; 0; 0,0; 0; 0,0; 0; 0,0
46168;Miramar; 45; 1708,43; 1; 37,97; 1; 37,97
46169;Mislata; 935; 2140,03; 41; 93,84; 15; 34,33
46170;Mogente/Moixent; 127; 2952,12; 12; 278,94; 0; 0,0
46171;Moncada; 513; 2338,73; 59; 268,98; 10; 45,59
12077;Moncofa; 93; 1425,29; 3; 45,98; 2; 30,65
3088;Monforte del Cid; 207; 2535,21; 13; 159,22; 2; 24,49
12079;Montanejos; 15; 2622,38; 0; 0,0; 0; 0,0
46173;Montaverner; 30; 1840,49; 0; 0,0; 0; 0,0
46174;Montesa; 16; 1374,57; 2; 171,82; 0; 0,0
3903;Montesinos (Los); 43; 865,54; 2; 40,26; 1; 20,13
46175;Montitxelvo/Montichelvo; 1; 171,23; 0; 0,0; 0; 0,0
46176;Montroy; 43; 1499,83; 3; 104,64; 1; 34,88
46172;Montserrat; 115; 1459,76; 11; 139,63; 1; 12,69
12078;Montán; 23; 6216,22; 0; 0,0; 5; 1351,35
3089;Monóvar/Monòver; 437; 3591,68; 60; 493,14; 10; 82,19
12080;Morella; 152; 6255,14; 1; 41,15; 22; 905,35
3091;Murla; 1; 212,77; 0; 0,0; 0; 0,0
3092;Muro de Alcoy; 180; 1930,5; 14; 150,15; 3; 32,18
46177;Museros; 183; 2833,69; 15; 232,27; 4; 61,94
3090;Mutxamel; 397; 1565,95; 26; 102,56; 12; 47,33
12081;Navajas; 5; 698,32; 1; 139,66; 0; 0,0
46179;Navarrés; 121; 4076,82; 28; 943,4; 5; 168,46
3093;Novelda; 523; 2038,91; 74; 288,49; 21; 81,87
46180;Novelé/Novetlè; 22; 2628,43; 5; 597,37; 0; 0,0
3094;Nucia (la); 174; 935,33; 5; 26,88; 1; 5,38
12082;Nules; 275; 2098,76; 18; 137,37; 7; 53,42
46178;Náquera; 35; 532,16; 4; 60,82; 0; 0,0
46181;Oliva; 327; 1302,74; 39; 155,37; 7; 27,89
46183;Olleria (l'); 277; 3345,01; 40; 483,03; 5; 60,38
46182;Olocau; 12; 677,58; 2; 112,93; 1; 56,47
12083;Olocau del Rey; 17; 14285,71; 0; 0,0; 0; 0,0
12084;Onda; 557; 2240,64; 33; 132,75; 8; 32,18
3095;Ondara; 85; 1232,96; 5; 72,53; 2; 29,01
3096;Onil; 159; 2118,02; 26; 346,34; 23; 306,38
46184;Ontinyent; 1172; 3315,7; 95; 268,76; 15; 42,44
